game_id,region,away_seed,away_key,away_school,home_seed,home_key,home_school,advance_to,home_win_chance,sim_reroll,sim_winner
53,West,TBD,TBD,TBD,TBD,TBD,TBD,61,0,TBD,TBD
54,West,TBD,TBD,TBD,TBD,TBD,TBD,61,0,TBD,TBD
55,South,TBD,TBD,TBD,TBD,TBD,TBD,62,0,TBD,TBD
56,South,TBD,TBD,TBD,TBD,TBD,TBD,62,0,TBD,TBD
57,East,TBD,TBD,TBD,TBD,TBD,TBD,63,0,TBD,TBD
58,East,TBD,TBD,TBD,TBD,TBD,TBD,63,0,TBD,TBD
59,Midwest,TBD,TBD,TBD,TBD,TBD,TBD,64,0,TBD,TBD
60,Midwest,TBD,TBD,TBD,TBD,TBD,TBD,64,0,TBD,TBD
61,West,TBD,TBD,TBD,TBD,TBD,TBD,65,0,TBD,TBD
62,South,TBD,TBD,TBD,TBD,TBD,TBD,65,0,TBD,TBD
63,East,TBD,TBD,TBD,TBD,TBD,TBD,66,0,TBD,TBD
64,Midwest,TBD,TBD,TBD,TBD,TBD,TBD,66,0,TBD,TBD
65,Final Four,TBD,TBD,TBD,TBD,TBD,TBD,67,0,TBD,TBD
66,Final Four,TBD,TBD,TBD,TBD,TBD,TBD,67,0,TBD,TBD
67,Championship,TBD,TBD,TBD,TBD,TBD,TBD,68,0,TBD,TBD
